Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.00,2.00,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.00,2.00,FALSE
SLD_TRR_RAU_10.01.018,Top Roller S751,Top Roller S751,2.20,0.00,4.00,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.00,2.00,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.00,4.00,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.00,4.00,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.00,8.00,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.00,14.00,FALSE
SLD_DEB_RAU_10.07.335,Dust Excluding Brush - Dark Brown,Dust Excluding Brush - Dark Brown,0.74,0.00,9.00,FALSE
SLD_BRB_RAU_15.04.040,Bottom rail - Light Bronze,Bottom rail - Light Bronze,30.36,0.00,1.00,FALSE
SLD_BTLB_RAU_15.05.040,Bottom Track Double Surface Light Bronze,Bottom Track Double Surface Light Bronze,19.29,0.00,1.00,FALSE
SLD_LTBR_RAU_15.11.042,S751 - Light Bronze,S751 - Light Bronze,23.03,0.00,2.00,FALSE
SLD_TRLB_RAU_15.12.040,Top Rail - Light Bronze,Top Rail - Light Bronze,15.73,0.00,1.00,FALSE
SLD_TTLB_RAU_15.25.040,Top Track Double S34 40mm Light Bronze,"Top Track Double S34, 40mm Light Bronze",36.87,0.00,1.00,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.11,0.00,4.00,FALSE
