Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
SLD_TRR_RAU_10.01.015,Top Roller S150/S750/S753,Top Roller S150/S750/S753,2.2,0.0,4.0,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.0,2.0,FALSE
SLD_DBC_RAU_10.01.039,Dust Brush Clip,Dust Brush Clip,0.07,0.0,8.0,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.0,4.0,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.0,4.0,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.0,8.0,FALSE
SLD_GKT_RAU_10.07.033,Gasket - 6mm - transparent,Gasket - 6mm - transparent,0.52,0.0,13,FALSE
SLD_DEB_RAU_10.07.220,Dust Excluding Brush - Black,Dust Excluding Brush - Black,0.74,0.0,8,FALSE
SLD_BMT_RAU_15.01.065,S750 - Black Mat,S750 - Black Mat,23.97,0.0,2,FALSE
SLD_BRB_RAU_15.04.065,Bottom rail - Black Mat,Bottom rail - Black Mat,36.77,0.0,1,FALSE
SLD_BTMB_RAU_15.05.065,Bottom Track Double Surface Black Mat,Bottom Track Double Surface Black Mat,21.88,0.0,1,FALSE
SLD_TRBM_RAU_15.12.065,Top Rail - Black Mat,Top Rail - Black Mat,18.76,0.0,1,FALSE
SLD_TTBM_RAU_15.25.065,Top Track Double S34 40mm Black Mat,"Top Track Double S34, 40mm Black Mat",38.12,0.0,1,FALSE
DRW_SET_HAF_516.20.304,Matrix Drawer - 450mmD x 89mmH Black,Matrix Box S Slim Drawer Set 35 kg 89 mm High Soft and Smooth Closing,11.0,0.0,1.0,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.5,0.0,4.0,FALSE
HAN_PUL_HAF_101.21.016,Harlington 400mm Pull Matt Black,Harlington 400mm Pull Handle knurled Matt Black,6.0,0.0,5.0,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.105,0.0,8.0,FALSE
HRL_ELB_HAF_801.03.290,Wardrobe Rail Elbow,Wardrobe rail elbow 90 degrees OVA 30 x 15 mm zinc alloy,5.9325,0.0,2.0,FALSE
